Country,max,min,aver
Afghanistan   ,10.477777777777778,-2.9,18.24482126489459
Albania   ,22.017818181818182,9.7880658436214,15.785479452054796
Algeria   ,25.22511725796753,12.820783055198973,19.35235666821202
American Samoa [United States],30.213424657534244,25.326575342465752,27.52072727272727
Antarctica   ,-6.335075653370014,-11.712247084027613,-18.504512651461155
Argentina   ,24.353262563303467,9.855744033056054,16.513141972021877
Armenia   ,10.925915492957746,1.4792920353982302,5.542465753424658
Australia   ,25.009780028743236,12.8831455445463,19.23874863473241
Austria   ,12.072251521298174,3.581152574397733,7.469273927392739
Azerbaijan   ,19.52006414825374,11.865573770491803,14.571360715283598
Bahamas   ,30.048962655601663,22.490871369294606,25.643013698630135
Bahrain   ,31.122727272727275,24.01181818181818,27.333698630136986
Bangladesh   ,30.977831454643045,14.415135135135134,25.55882638215325
Belarus   ,10.327522821057897,2.2598555211558304,5.274711065339284
Belgium   ,14.592283950617283,6.979296875,10.175616438356164
Benin   ,33.45981873111783,22.56469933184855,27.37703984819734
Bermuda [United Kingdom] ,24.70650406504065,19.41991869918699,21.94191780821918
Bolivia   ,29.06499416569428,17.746596596596596,23.47096147951364
Bosnia and Herzegovina ,17.297796143250686,8.090225563909774,12.662233549582947
Botswana   ,31.52763948497854,12.928887070376433,23.116386138613862
Brazil   ,30.233918669131235,19.848833210513387,24.686565071624507
Bulgaria   ,17.947282051282052,7.326033519553073,12.676506849315068
Burkina Faso  ,35.49378861788618,22.692304873580063,28.576706458524644
Burma   ,32.20562109646079,21.021347565043364,27.093879976232916
Cameroon   ,32.85630372492837,20.69547511312217,26.118962264150944
Canada   ,8.467462831961035,-1.6939100791689707,-1.17664686512336
Cape Verde  ,28.506651634723788,21.704906542056072,24.498174442190667
Cayman Islands [United Kingdom],30.94787878787879,24.447575757575756,28.071506849315067
Central African Republic ,30.783073496659245,19.638452914798204,24.42706834532374
Chad   ,36.678360655737706,22.017954722872755,30.58933577087142
Chile   ,19.483322559793148,9.210958350181965,14.151889000334336
China   ,13.060022728707619,5.247656008091985,11.53618926324727
Christmas Island [Australia] ,28.421243523316065,23.033179723502304,25.131780821917808
Cocos (Keeling) Islands [Australia],29.32980392156863,24.716216216216218,27.069589041095888
Colombia   ,30.544468724392242,20.156931083425327,24.97071463061323
Congo (Brazzaville)  ,30.791970802919707,20.703147353361945,25.811331704337203
Congo (Kinshasa)  ,31.26407766990291,21.27894736842105,25.838213399503722
Costa Rica  ,31.004773269689736,20.55692124105012,26.219543378995432
